=== PARAMETRY SYMULACJI ===
chan: 10
q_max: 10
lambda: 1.0
mean: 20.0
sigma: 5.0
min: 10.0
max: 30.0
sim_time: 30

=== WYNIKI (KOLUMNY) ===
Czas[s]	Q	W	Ro
0	0	0.00	0.30
1	0	0.00	0.60
2	0	0.00	0.90
3	0	0.00	0.90
4	0	0.00	0.90
5	0	0.00	1.00
6	0	0.00	1.00
7	4	0.00	1.00
8	4	0.00	1.00
9	4	0.00	1.00
10	5	0.00	1.00
11	6	0.00	1.00
12	6	0.00	1.00
13	5	5.56	1.00
14	6	5.56	1.00
15	6	5.56	1.00
16	6	6.99	1.00
